name,geographical_region,geographical_location,coordinates,normalized_coords_ns,normalized_coords_ew
Abri Kontija 002,Istra,Limski kanal,"45° 8'15""N, 13°43' 7 E",45.1375,13.716666666666667
Abri Šebrn,Istria,Ćićarija,"45.33771253384577, 14.162687241350081",45.33771253384577,14.162687241350081
Brjgućeva Loza 1 (Loza),Istra,Kastav,"45° 28' 4"" N, 14° 14' 32"" E",45.467777777777776,14.242222222222221
Borik,Dalmacija,Zadar (Oštri rat ili Punta Mika),"44° 05'N, 15° 15' E",44.083333333333336,15.25
Brodski Drenovac,Slavonija,brodsko Posavlje (Pleternica),"45° 13'N, 17° 45'E",45.21666666666667,17.75
Bukovac pećina,Gorski kotar,Lokve,"45° 21'N, 14° 45'E",45.35,14.75
Campanoz,Istra,southern part of the Istrian peninsula in Medulin,"44.849052824411324, 13.899996050873133",44.849052824411324,13.899996050873133
Cerovačke pećine,Central Croatia- Lika,"Velebit, Gracac","44° 16'24""N, 16° 53'48""E",44.27333333333333,16.896666666666665
Dražica,Dalmacija,otok Molat,"44° 13'N, 14° 50' E",44.21666666666667,14.833333333333334
Giljanovići (Karanušići),Dalmacija,Labin,"43°55’87’’ n, 16°24’95’’ e,",43.0,16.0
Glavičica,Dalmacija,Cetina,"43°45'N, 16°40'E",43.75,16.666666666666668
Gospodska špilja,Dalmacija,Cetina,"43°59'02""N, 16°26'11""E",43.98388888888889,16.43638888888889
Igraliste-Dolac,Dalmacija Zadar,Dugi otok,"44.142032, 14.841416",44.142032,14.841416
Ivšišće,Istra,Čepić polje,"45.19881754731287, 14.098532077351189",45.19881754731287,14.098532077351189
Jami na Sredi,Kvarner,otok Cres,"44° 40'N, 14° 28' E",44.666666666666664,14.466666666666667
Kamenika,Slavonija,Srednji Lipovac,"45° 12'N, 17° 35' E",45.2,17.583333333333332
Kaštel Štafilić – Resnik,Dalmacija,underwater,"43◦32′19′′ N,  016◦18′45′′ E",43.0,16.0
Klanjčeva peć,Istra,Ćićarija,"45° 19' 59''N, 14° 11' 16'' E",45.33305555555556,14.187777777777779
Kopačina,Dalmacija,otok Brač,"43° 22'N, 16° 32' ",43.36666666666667,16.533333333333335
Krapina,SZ Hrvatska,Hrvatsko zagorje,"46°9′53″N, 15°51′49″E",46.0,15.0
"Krševanje polje, Sali",Dalmacija,Dugi otok,"43° 57'N, 15° 10' E",43.95,15.166666666666666
Lakušje,Slavonija,Požeška kotlina,"45° 17'N, 17° 45' E",45.28333333333333,17.75
Ledenice ,Dalmacija,otok Molat,"44° 13'N, 14° 50' E",44.21666666666667,14.833333333333334
Lim 001,Istra,Limski kanal,"45°08'02.1""N, 13°43'52.3""E",45.133916666666664,13.731194444444444
Ljubićeva pećina,Istra,Marčana,"44.9718° N, 13.9519° E",44.9718,13.9519
Lopar,Kvarner,otok Rab,"44° 50'N, 14° 45' E",44.833333333333336,14.75
Malo Polje Krban,Dalmacija,Trogir,"43.525783, 16.264043",43.525783,16.264043
Martijanec,SZ Hrvatska,"Ravna gora, Varaždin","46° 18' 12''N, 14° 08' 38'' E",46.30333333333333,14.143888888888888
Mujina pećina,Dalmacija,Trogir,"43° 32'N, 16° 30' E",43.53333333333333,16.5
Nin,Dalmacija,solana,"44° 14'N, 15° 10' E",44.233333333333334,15.166666666666666
Okruglo,Dalmacija,Sinj,"43° 45'N, 16° 40' E",43.75,16.666666666666668
Panjorovica/Panđerovica Veli Rat ,Dalmacija,Dugi otok,"44.150239, 14.827847",44.150239,14.827847
Pečina na Gradini,Istra,Kastav,"45° 20' N, 14° 30'E",45.333333333333336,14.5
Pećina kod Rovinjskog Sela 1 ,Istra,Limski kanal," 45°07'35.5""N, 13°42'11.5""E",45.12652777777778,13.703194444444444
Pećina u Brini istočna,Dalmacija,Drniš,"43° 50' N, 16° 10'E",43.833333333333336,16.166666666666668
Pećina u Brini zapadna,Dalmacija,Drniš,"43° 50' N, 16° 10'E",43.833333333333336,16.166666666666668
Podstojna peć,Istra,Mošćenička draga,"45° 15' N, 14° 15' E",45.25,14.25
Podumci kod Unešića,Dalmacija,Unešić,"46° 12' N, 16° 18' E",46.2,16.3
Polje,Dalmacija Zadar,Dugi rat/otok,"44.134675, 14.861064",44.134675,14.861064
Ražanac,Dalmacija,Ražanac,"44° 11' N, 15° 29' E",44.18333333333333,15.483333333333333
Romualdova pećina,Istra,Limski kanal,"45° 07′ 44″ N, 13° 14′ 17″ E",45.0,13.0
Ruševo,Slavonija,Požeška kotlina,"45° 12' N, 18° 01' E",45.2,18.016666666666666
"Sabljićevo, Sušak ",Kvarner,Rijeka,"45° 20' N, 14° 30' E",45.333333333333336,14.5
Samobor,SZ Hrvatska,Podstražnik,"45° 48' N, 15° 42' E",45.8,15.7
Savurdija,Istra,Umag,"45° 30' N, 13° 30' E",45.5,13.5
"Stipanac, Prokljansko jezero",Dalmacija,Otok Stipanac,"43° 48' 59.99"" N, 15° 51' 59.99"" E",43.81666388888888,15.866663888888889
Straza,Dalmacija Zadar,Dugi otok,"44.140877, 14.835754",44.140877,14.835754
Sumpetar,Dalmacija,Jesenice,"43° 28' N, 13° 35' E",43.46666666666667,13.583333333333334
Šandalja II,Istra,Pula,"44° 52′ 57″ N, 13° 53′ 48″ E",44.0,13.0
Šupljata pećina kod Markuševca,SZ Hrvatska,Medvednica,"45° 55' N, 16° 00' E",45.916666666666664,16.0
Uvala Cuna-Darstalo,Dalmacija Zadar,Dugi otok,"44.135599, 14.856929",44.135599,14.856929
Uvala Jaz-Polje,Dalmacija Zadar,Dugi otok,"44.135395, 14.860817",44.135395,14.860817
Valacin Zal- Uvala Podlokvanj,Dalmacija Zadar,Dugi Rat/otok,"44.159398, 14.8248665",44.159398,14.8248665
Varždinske toplice,SZ Hrvatska,Varaždin,"46° 18′ 12″ N, 16° 14′ 38″ E",46.0,16.0
Vela Spila Korcula,Dalmacija,otok korcula,"42.97032513397971, 16.718318784658234",42.97032513397971,16.718318784658234
Vela spilja na Lošinju,Kvarner,otok Lošinj (Osorčica),"44° 40' N, 14° 22' E",44.666666666666664,14.366666666666667
Velika pećina Klicevica,northern Dalmatia,Klicevica river canyon Benkovac,"44°01’54’’ N, 15°33’48’’ E",44.0,15.0
Velika pećina/Mačkova pećina na Ravnoj Gori,SZ Hrvatska,Ravna gora,"46° 15' 10"" N, 16° 2' 22"" E",46.25277777777778,16.039444444444445
Vergotinova pećina,Istra,Poreč,"45° 17' 3"" N, 13° 39' 19"" E",45.284166666666664,13.655277777777778
Veternica,SZ Hrvatska,Medvednica,"45° 50' 36"" N, 15° 52' 24"" E",45.843333333333334,15.873333333333333
Vindija,SZ Hrvatska,Ravna gora,"46° 18' 12"" N, 16° 44' 38"" E",46.30333333333333,16.74388888888889
Vlakno ,Ripišće,Dugi otok,"44.036488,15.028095",44.036488,15.028095
"Vuglovec, Ivanec",SZ Hrvatska,"Ravna gora, planina Ivančica","46° 12'N, 16° 08'E",46.2,16.133333333333333
Zamet,Kvarner,Rijeka,"45.34709703002665, 14.385885538632936",45.34709703002665,14.385885538632936
Zapuntelsko polje,Dalmacija,otok Molat,"44° 15' N, 14° 46' E",44.25,14.766666666666667
"Zarilac, Požeška kotlina",Slavonija,Požeška kotlina,"45° 25' N, 17° 53' E",45.416666666666664,17.883333333333333
Zemunica,Dalmacija,Split- Bisko,"43.56316860942043, 16.673990705770137",43.56316860942043,16.673990705770137
